epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,67.0902,0.88822,0.64795,0.00616,0.67875,0.06429,0.0731,0.04842,1.57476,4.19571,0.02069,0.000122266,0.000122266,0.000122266
67,68.1077,0.70977,0.52844,0.00389,0.67685,0.06429,0.07138,0.04729,1.55164,4.14923,0.02064,0.000114531,0.000114531,0.000114531
68,69.0881,0.78,0.57448,0.00354,0.67815,0.06429,0.07384,0.04898,1.51908,4.13734,0.02102,0.000106797,0.000106797,0.000106797
69,70.0939,0.79111,0.5774,0.00412,0.82478,0.06429,0.07717,0.04666,1.39358,4.11452,0.01704,9.90625e-05,9.90625e-05,9.90625e-05
70,71.061,0.88783,0.64511,0.00476,0.82515,0.06429,0.07415,0.04514,1.33611,4.14864,0.01517,9.13281e-05,9.13281e-05,9.13281e-05
71,72.2338,0.71406,0.58586,0.00457,0.82167,0.06429,0.07842,0.04945,1.39498,4.11322,0.01578,8.35938e-05,8.35938e-05,8.35938e-05
72,73.2301,0.71439,0.52671,0.00381,0.67464,0.06429,0.07975,0.04651,1.43897,4.10815,0.01674,7.58594e-05,7.58594e-05,7.58594e-05
73,74.2369,0.68463,0.52867,0.00405,0.6694,0.06429,0.07755,0.04781,1.43184,4.12273,0.01663,6.8125e-05,6.8125e-05,6.8125e-05
74,75.2607,0.77915,0.57491,0.00482,0.66207,0.06429,0.07998,0.05143,1.39037,4.16925,0.01599,6.03906e-05,6.03906e-05,6.03906e-05
75,76.2218,0.79819,0.58526,0.00482,0.65137,0.06429,0.08333,0.0529,1.40618,4.15553,0.01667,5.26562e-05,5.26562e-05,5.26562e-05
76,77.2587,0.69793,0.53732,0.00383,0.56568,0.08214,0.08216,0.04533,1.41743,4.16669,0.01708,4.49219e-05,4.49219e-05,4.49219e-05
77,78.2346,0.67801,0.51637,0.00356,0.56718,0.08409,0.08334,0.04599,1.47223,4.12512,0.01827,3.71875e-05,3.71875e-05,3.71875e-05
78,79.32,0.75671,0.53941,0.00328,0.57411,0.09265,0.07783,0.04641,1.5814,3.95698,0.01963,2.94531e-05,2.94531e-05,2.94531e-05
79,80.301,0.70072,0.54957,0.004,0.57171,0.09286,0.07416,0.04521,1.5686,3.92614,0.01964,2.17188e-05,2.17188e-05,2.17188e-05
80,81.3077,0.59898,0.48409,0.00325,0.56403,0.09286,0.07568,0.04635,1.58395,3.9065,0.01976,1.39844e-05,1.39844e-05,1.39844e-05
