epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,52.9242,0.84901,0.63148,0.00472,0.82597,0.06429,0.0788,0.04614,1.67581,3.84914,0.01419,0.000215078,0.000215078,0.000215078
55,53.9445,0.88639,0.64008,0.006,0.77068,0.09131,0.08604,0.04768,1.64709,3.87434,0.01401,0.000207344,0.000207344,0.000207344
56,54.9373,0.85896,0.65834,0.00635,0.72649,0.09286,0.07811,0.04353,1.59748,3.86191,0.01523,0.000199609,0.000199609,0.000199609
57,55.9694,0.83909,0.63605,0.00596,0.7054,0.09286,0.07639,0.04264,1.59073,3.86098,0.01705,0.000191875,0.000191875,0.000191875
58,57.0975,0.85775,0.65296,0.00615,0.76537,0.06429,0.06064,0.03747,1.57915,3.88449,0.01745,0.000184141,0.000184141,0.000184141
59,58.1202,0.90109,0.65434,0.00463,0.76466,0.06429,0.0576,0.04046,1.64454,3.82027,0.01804,0.000176406,0.000176406,0.000176406
60,59.1261,0.90954,0.68808,0.00565,0.75992,0.06429,0.05761,0.03885,1.71018,3.8127,0.01995,0.000168672,0.000168672,0.000168672
61,60.1486,0.78033,0.59836,0.00409,0.75074,0.06429,0.05608,0.03935,1.66896,3.87684,0.01841,0.000160938,0.000160938,0.000160938
62,61.1567,0.94075,0.72129,0.00676,0.74846,0.06429,0.05939,0.04455,1.6584,3.90201,0.01776,0.000153203,0.000153203,0.000153203
63,62.1726,1.00193,0.68757,0.00685,0.74419,0.063,0.05956,0.04313,1.7354,3.97858,0.0185,0.000145469,0.000145469,0.000145469
64,63.2656,0.83592,0.6142,0.00475,0.70772,0.06429,0.05309,0.03984,1.7658,4.0664,0.01846,0.000137734,0.000137734,0.000137734
65,64.2824,0.88664,0.64557,0.00468,0.71172,0.06429,0.04972,0.03845,1.8213,4.085,0.01898,0.00013,0.00013,0.00013
66,65.2668,0.8623,0.60979,0.00512,0.71757,0.06429,0.05104,0.03949,1.83791,4.07737,0.01964,0.000122266,0.000122266,0.000122266
67,66.2861,0.77507,0.62623,0.00468,0.75611,0.06429,0.0573,0.04095,1.84034,4.07283,0.02039,0.000114531,0.000114531,0.000114531
68,67.3032,0.8355,0.65648,0.00681,0.75657,0.06429,0.05579,0.03891,1.81885,4.09611,0.02042,0.000106797,0.000106797,0.000106797
69,68.2983,0.7857,0.62822,0.0036,0.76083,0.06429,0.05575,0.03925,1.80426,4.06928,0.02011,9.90625e-05,9.90625e-05,9.90625e-05
70,69.323,0.78606,0.64132,0.00584,0.77821,0.06429,0.0709,0.04106,1.79868,4.01794,0.02,9.13281e-05,9.13281e-05,9.13281e-05
71,70.5058,0.80796,0.61245,0.00461,0.79891,0.06429,0.06848,0.04009,1.81292,3.97004,0.02045,8.35938e-05,8.35938e-05,8.35938e-05
72,71.5237,0.70922,0.5325,0.00459,0.79977,0.06429,0.06762,0.03956,1.85109,3.9778,0.02045,7.58594e-05,7.58594e-05,7.58594e-05
73,72.5226,0.67285,0.55688,0.00449,0.79217,0.06429,0.06857,0.0402,1.852,3.95073,0.01961,6.8125e-05,6.8125e-05,6.8125e-05
74,73.5079,0.75927,0.59851,0.0057,0.79565,0.06429,0.06762,0.03894,1.85109,3.95993,0.01902,6.03906e-05,6.03906e-05,6.03906e-05
75,74.4377,0.82893,0.58684,0.00374,0.7882,0.06429,0.06586,0.04155,1.82527,3.97884,0.01861,5.26562e-05,5.26562e-05,5.26562e-05
76,75.3941,0.7323,0.59276,0.00383,0.74506,0.06429,0.06459,0.04089,1.812,4.00237,0.0186,4.49219e-05,4.49219e-05,4.49219e-05
77,76.3406,0.76013,0.56736,0.00499,0.74026,0.06429,0.05017,0.03645,1.79548,4.01904,0.01863,3.71875e-05,3.71875e-05,3.71875e-05
78,77.3768,0.72465,0.52628,0.00307,0.74278,0.06429,0.04991,0.0363,1.8041,4.04638,0.01847,2.94531e-05,2.94531e-05,2.94531e-05
79,78.3424,0.72708,0.55219,0.00465,0.74226,0.06429,0.04993,0.03631,1.80359,4.06113,0.01864,2.17188e-05,2.17188e-05,2.17188e-05
80,79.3223,0.62546,0.50971,0.00375,0.74401,0.06429,0.04997,0.03633,1.79642,4.07439,0.01856,1.39844e-05,1.39844e-05,1.39844e-05
